worker1-1  |  2024/06/04 17:53:53.062 FIG10b: Memory usage without flush after 15671 tasks: 1146.44921875 MB
worker1-1  | 2024/06/04 17:53:54.063 FIG10b: Memory usage without flush after 15786 tasks: 1146.38671875 MB
worker1-1  | 2024/06/04 17:53:55.072 FIG10b: Memory usage without flush after 15913 tasks: 1146.64453125 MB
worker1-1  | [worker]2024/06/04 17:53:56.077 FIG10b: Memory usage without flush after 16025 tasks: 1145.60546875 MB
worker1-1  | 2024/06/04 17:53:57.089  2024/06/04 17:53:57.090 FIG10b: Memory usage without flush after 16137 tasks: 1146.7109375 MB
worker1-1  |  2024/06/04 17:53:58.091 FIG10b: Memory usage without flush after 16233 tasks: 1146.19140625 MB
worker1-1  | 2024/06/04 17:53:59.094 FIG10b: Memory usage without flush after 16290 tasks: 1147.15625 MB
worker1-1  | 2024/06/04 17:54:00.098 FIG10b: Memory usage without flush after 16404 tasks: 1137.625 MB
worker1-1  | 2024/06/04 17:54:01.105 FIG10b: Memory usage without flush after 16507 tasks: 1137.79296875 MB
worker1-1  |  2024/06/04 17:54:02.120 FIG10b: Memory usage without flush after 16621 tasks: 1138.90625 MB
worker1-1  | 2024/06/04 17:54:03.122 FIG10b: Memory usage without flush after 16739 tasks: 1139.12890625 MB
worker1-1  | 2024/06/04 17:54:04.126 [worker] stored...2024/06/04 17:54:04.1262024/06/04 17:54:04.127 FIG10b: Memory usage without flush after 16849 tasks: 1138.421875 MB
worker1-1  | [worker]2024/06/04 17:54:05.129 FIG10b: Memory usage without flush after 16966 tasks: 1139.22265625 MB
worker1-1  | gonna store now 2024/06/04 17:54:06.1302024/06/04 17:54:06.130 FIG10b: Memory usage without flush after 17089 tasks: 1140.7890625 MB
worker1-1  | stored...2024/06/04 17:54:07.130 FIG10b: Memory usage without flush after 17208 tasks: 1140.51171875 MB
worker1-1  | 2024/06/04 17:54:08.1362024/06/04 17:54:08.137 FIG10b: Memory usage without flush after 17324 tasks: 1140.02734375 MB
worker1-1  | 2024/06/04 17:54:09.150 FIG10b: Memory usage without flush after 17420 tasks: 1139.7578125 MB
worker1-1  | 2024/06/04 17:54:10.160 FIG10b: Memory usage without flush after 17508 tasks: 1141.15234375 MB
worker1-1  | [worker]2024/06/04 17:54:11.170 FIG10b: Memory usage without flush after 17603 tasks: 1139.875 MB
worker1-1  |  [worker] 2024/06/04 17:54:12.172 FIG10b: Memory usage without flush after 17700 tasks: 1140.3125 MB
worker1-1  |  [worker]2024/06/04 17:54:13.178 FIG10b: Memory usage without flush after 17810 tasks: 1140.9921875 MB
worker1-1  | 2024/06/04 17:54:14.182 FIG10b: Memory usage without flush after 17911 tasks: 1140.7421875 MB
worker1-1  | 2024/06/04 17:54:15.185 FIG10b: Memory usage without flush after 18022 tasks: 1140.453125 MB
worker1-1  | 2024/06/04 17:54:16.186 FIG10b: Memory usage without flush after 18128 tasks: 1141.609375 MB
worker1-1  | 2024/06/04 17:54:17.1862024/06/04 17:54:17.186 FIG10b: Memory usage without flush after 18243 tasks: 1141.55078125 MB
worker1-1  | 2024/06/04 17:54:18.192 2024/06/04 17:54:18.193[worker]2024/06/04 17:54:18.193  FIG10b: Memory usage without flush after 18350 tasks: 1141.2890625 MB
worker1-1  |  FIG10b: Memory usage without flush after 18464 tasks: 1141.28125 MB
worker1-1  |  2024/06/04 17:54:20.2002024/06/04 17:54:20.200 FIG10b: Memory usage without flush after 18577 tasks: 1141.4765625 MB
worker1-1  | [worker] 2024/06/04 17:54:21.208 FIG10b: Memory usage without flush after 18696 tasks: 1142.69140625 MB
worker1-1  | 2024/06/04 17:54:22.218 FIG10b: Memory usage without flush after 18816 tasks: 1143.0 MB
worker1-1  | 2024/06/04 17:54:23.219 FIG10b: Memory usage without flush after 18939 tasks: 1143.05859375 MB
worker1-1  | 2024/06/04 17:54:24.227in Run() rn2024/06/04 17:54:24.228 FIG10b: Memory usage without flush after 19052 tasks: 1143.6640625 MB
worker1-1  | 2024/06/04 17:54:25.231 FIG10b: Memory usage without flush after 19178 tasks: 1143.70703125 MB
worker1-1  |  stored...2024/06/04 17:54:26.234 FIG10b: Memory usage without flush after 19301 tasks: 1144.0078125 MB
worker1-1  | 2024/06/04 17:54:27.2532024/06/04 17:54:27.253 [worker]  Executed!FIG10b: Memory usage without flush after 19426 tasks: 1144.29296875 MB
worker1-1  | 2024/06/04 17:54:28.256 FIG10b: Memory usage without flush after 19541 tasks: 1144.40234375 MB
worker1-1  | 2024/06/04 17:54:29.260 2024/06/04 17:54:29.261 FIG10b: Memory usage without flush after 19636 tasks: 1144.85546875 MB
worker1-1  | 2024/06/04 17:54:30.266 FIG10b: Memory usage without flush after 19714 tasks: 1145.16015625 MB
