worker1-1  | 2024/06/04 17:13:27.684 FIG10b: Memory usage without flush after 17125 tasks: 911.25 MB
worker1-1  | 2024/06/04 17:13:28.685 FIG10b: Memory usage without flush after 17254 tasks: 912.15234375 MB
worker1-1  | 2024/06/04 17:13:29.689 FIG10b: Memory usage without flush after 17387 tasks: 912.078125 MB
worker1-1  | 2024/06/04 17:13:30.691 FIG10b: Memory usage without flush after 17530 tasks: 916.59765625 MB
worker1-1  | 2024/06/04 17:13:31.693 FIG10b: Memory usage without flush after 17671 tasks: 913.24609375 MB
worker1-1  | 2024/06/04 17:13:32.695 FIG10b: Memory usage without flush after 17809 tasks: 914.359375 MB
worker1-1  | 2024/06/04 17:13:33.695 FIG10b: Memory usage without flush after 17953 tasks: 915.4296875 MB
worker1-1  | 2024/06/04 17:13:34.696 FIG10b: Memory usage without flush after 18093 tasks: 916.84765625 MB
worker1-1  | 2024/06/04 17:13:35.697 FIG10b: Memory usage without flush after 18229 tasks: 916.2265625 MB
worker1-1  | 2024/06/04 17:13:36.697 FIG10b: Memory usage without flush after 18362 tasks: 917.09375 MB
worker1-1  | 2024/06/04 17:13:37.701 FIG10b: Memory usage without flush after 18488 tasks: 917.9921875 MB
worker1-1  | 2024/06/04 17:13:38.701 FIG10b: Memory usage without flush after 18629 tasks: 918.15625 MB
worker1-1  | 2024/06/04 17:13:39.705 FIG10b: Memory usage without flush after 18775 tasks: 919.9140625 MB
worker1-1  | 2024/06/04 17:13:40.711 FIG10b: Memory usage without flush after 18917 tasks: 920.96484375 MB
worker1-1  | 2024/06/04 17:13:41.710 FIG10b: Memory usage without flush after 19046 tasks: 921.4609375 MB
worker1-1  | 2024/06/04 17:13:42.713 FIG10b: Memory usage without flush after 19186 tasks: 925.78515625 MB
worker1-1  | 2024/06/04 17:13:43.717 FIG10b: Memory usage without flush after 19324 tasks: 927.91015625 MB
worker1-1  | 2024/06/04 17:13:44.717 FIG10b: Memory usage without flush after 19458 tasks: 925.828125 MB
worker1-1  | 2024/06/04 17:13:45.721 FIG10b: Memory usage without flush after 19583 tasks: 926.21484375 MB
worker1-1  | 2024/06/04 17:13:46.739 FIG10b: Memory usage without flush after 19721 tasks: 933.5078125 MB
worker1-1  | 2024/06/04 17:13:47.741 FIG10b: Memory usage without flush after 19870 tasks: 934.7421875 MB
worker1-1  | 2024/06/04 17:13:48.743 FIG10b: Memory usage without flush after 20006 tasks: 935.6875 MB
worker1-1  | 2024/06/04 17:13:49.7452024/06/04 17:13:49.746 FIG10b: Memory usage without flush after 20152 tasks: 937.8984375 MB
worker1-1  | 2024/06/04 17:13:50.748 FIG10b: Memory usage without flush after 20291 tasks: 937.63671875 MB
worker1-1  | 2024/06/04 17:13:51.753 FIG10b: Memory usage without flush after 20420 tasks: 938.9921875 MB
worker1-1  | 2024/06/04 17:13:52.756 FIG10b: Memory usage without flush after 20558 tasks: 939.62890625 MB
worker1-1  | 2024/06/04 17:13:53.757 FIG10b: Memory usage without flush after 20695 tasks: 939.671875 MB
worker1-1  | 2024/06/04 17:13:54.786 2024/06/04 17:13:54.787 FIG10b: Memory usage without flush after 20825 tasks: 938.67578125 MB
worker1-1  | 2024/06/04 17:13:55.797 FIG10b: Memory usage without flush after 20958 tasks: 938.77734375 MB
worker1-1  | 2024/06/04 17:13:56.799 FIG10b: Memory usage without flush after 21109 tasks: 939.7734375 MB
worker1-1  | 2024/06/04 17:13:57.808 [worker] 2024/06/04 17:13:57.808 FIG10b: Memory usage without flush after 21232 tasks: 940.71875 MB
worker1-1  | 2024/06/04 17:13:58.811 FIG10b: Memory usage without flush after 21366 tasks: 940.22265625 MB
worker1-1  | 2024/06/04 17:13:59.813 FIG10b: Memory usage without flush after 21504 tasks: 941.5234375 MB
worker1-1  | 2024/06/04 17:14:00.835 FIG10b: Memory usage without flush after 21649 tasks: 941.66796875 MB
worker1-1  | 2024/06/04 17:14:01.838 FIG10b: Memory usage without flush after 21793 tasks: 942.91015625 MB
worker1-1  | 2024/06/04 17:14:02.840 FIG10b: Memory usage without flush after 21935 tasks: 941.91796875 MB
worker1-1  | 2024/06/04 17:14:03.842 FIG10b: Memory usage without flush after 22080 tasks: 951.1796875 MB
worker1-1  | [worker] 2024/06/04 17:14:04.848 FIG10b: Memory usage without flush after 22220 tasks: 952.33984375 MB
worker1-1  | 2024/06/04 17:14:05.855 FIG10b: Memory usage without flush after 22355 tasks: 950.19140625 MB
worker1-1  |  [worker]2024/06/04 17:14:06.870 FIG10b: Memory usage without flush after 22496 tasks: 951.20703125 MB
worker1-1  | 2024/06/04 17:14:07.874 FIG10b: Memory usage without flush after 22631 tasks: 952.87890625 MB
worker1-1  | 2024/06/04 17:14:08.877 FIG10b: Memory usage without flush after 22778 tasks: 960.58203125 MB
worker1-1  | 2024/06/04 17:14:09.8902024/06/04 17:14:09.890 FIG10b: Memory usage without flush after 22916 tasks: 960.83203125 MB
worker1-1  | stored...2024/06/04 17:14:10.890 FIG10b: Memory usage without flush after 23064 tasks: 959.015625 MB
worker1-1  | 2024/06/04 17:14:11.895 FIG10b: Memory usage without flush after 23200 tasks: 960.03125 MB
worker1-1  | 2024/06/04 17:14:12.898 FIG10b: Memory usage without flush after 23341 tasks: 959.296875 MB
worker1-1  | 2024/06/04 17:14:13.900 FIG10b: Memory usage without flush after 23467 tasks: 959.8125 MB
worker1-1  | 2024/06/04 17:14:14.904 FIG10b: Memory usage without flush after 23623 tasks: 961.9375 MB
worker1-1  | 2024/06/04 17:14:15.944 FIG10b: Memory usage without flush after 23780 tasks: 962.25 MB
worker1-1  |  [worker]2024/06/04 17:14:16.950 FIG10b: Memory usage without flush after 23890 tasks: 964.62109375 MB
worker1-1  |  stored...2024/06/04 17:14:17.9542024/06/04 17:14:17.9542024/06/04 17:14:17.954 FIG10b: Memory usage without flush after 24017 tasks: 960.94140625 MB
worker1-1  | 2024/06/04 17:14:18.961 FIG10b: Memory usage without flush after 24174 tasks: 965.21875 MB
worker1-1  | 2024/06/04 17:14:19.9652024/06/04 17:14:19.966 FIG10b: Memory usage without flush after 24288 tasks: 973.1640625 MB
worker1-1  | 2024/06/04 17:14:20.968 FIG10b: Memory usage without flush after 24411 tasks: 972.45703125 MB
worker1-1  | 2024/06/04 17:14:21.981 FIG10b: Memory usage without flush after 24550 tasks: 972.38671875 MB
worker1-1  |   2024/06/04 17:14:22.984 FIG10b: Memory usage without flush after 24688 tasks: 973.90625 MB
