worker1-1  | 2024/06/04 03:36:55.8042024/06/04 03:36:55.805 FIG10b: Memory usage without flush after 20265 tasks: 1118.0 MB
worker1-1  | 2024/06/04 03:36:56.804 [worker]2024/06/04 03:36:56.804 FIG10b: Memory usage without flush after 20381 tasks: 1118.46875 MB
worker1-1  | 2024/06/04 03:36:57.807 FIG10b: Memory usage without flush after 20496 tasks: 1118.36328125 MB
worker1-1  | 2024/06/04 03:36:58.810 [worker]2024/06/04 03:36:58.811 FIG10b: Memory usage without flush after 20611 tasks: 1119.22265625 MB
worker1-1  | 2024/06/04 03:36:59.815 FIG10b: Memory usage without flush after 20730 tasks: 1119.8828125 MB
worker1-1  | 2024/06/04 03:37:00.827 FIG10b: Memory usage without flush after 20852 tasks: 1120.515625 MB
worker1-1  | 2024/06/04 03:37:01.830 FIG10b: Memory usage without flush after 20969 tasks: 1120.85546875 MB
worker1-1  | 2024/06/04 03:37:02.836 [worker] 2024/06/04 03:37:02.837 FIG10b: Memory usage without flush after 21093 tasks: 1120.75390625 MB
worker1-1  |  2024/06/04 03:37:03.844 FIG10b: Memory usage without flush after 21214 tasks: 1121.13671875 MB
worker1-1  | 2024/06/04 03:37:04.845 FIG10b: Memory usage without flush after 21338 tasks: 1121.2421875 MB
worker1-1  | 2024/06/04 03:37:05.845 FIG10b: Memory usage without flush after 21456 tasks: 1121.77734375 MB
worker1-1  | 2024/06/04 03:37:06.851 FIG10b: Memory usage without flush after 21582 tasks: 1121.4296875 MB
worker1-1  | 2024/06/04 03:37:07.855 FIG10b: Memory usage without flush after 21698 tasks: 1121.3203125 MB
worker1-1  | 2024/06/04 03:37:08.855 FIG10b: Memory usage without flush after 21819 tasks: 1122.23046875 MB
worker1-1  | 2024/06/04 03:37:09.8592024/06/04 03:37:09.860  FIG10b: Memory usage without flush after 21938 tasks: 1121.94140625 MB
worker1-1  | 2024/06/04 03:37:10.865 FIG10b: Memory usage without flush after 22061 tasks: 1122.046875 MB
worker1-1  | 2024/06/04 03:37:11.867 2024/06/04 03:37:11.867[worker]  Executed!FIG10b: Memory usage without flush after 22185 tasks: 1122.3828125 MB
worker1-1  | 2024/06/04 03:37:12.868 FIG10b: Memory usage without flush after 22307 tasks: 1122.72265625 MB
worker1-1  | 2024/06/04 03:37:13.879 FIG10b: Memory usage without flush after 22425 tasks: 1122.13671875 MB
worker1-1  | 2024/06/04 03:37:14.888 FIG10b: Memory usage without flush after 22551 tasks: 1123.8359375 MB
worker1-1  | 2024/06/04 03:37:15.890 FIG10b: Memory usage without flush after 22671 tasks: 1123.9375 MB
worker1-1  | [worker] [worker] 2024/06/04 03:37:16.893 FIG10b: Memory usage without flush after 22789 tasks: 1123.1796875 MB
worker1-1  |  2024/06/04 03:37:17.903 FIG10b: Memory usage without flush after 22897 tasks: 1123.37109375 MB
worker1-1  | 2024/06/04 03:37:18.911 FIG10b: Memory usage without flush after 23011 tasks: 1123.01953125 MB
worker1-1  | FIG10b: Memory usage without flush after 23127 tasks: 1123.34765625 MB
worker1-1  | 2024/06/04 03:37:20.918 FIG10b: Memory usage without flush after 23234 tasks: 1123.0546875 MB
worker1-1  | 2024/06/04 03:37:21.922 FIG10b: Memory usage without flush after 23352 tasks: 1122.96875 MB
worker1-1  | 2024/06/04 03:37:22.927 FIG10b: Memory usage without flush after 23475 tasks: 1124.24609375 MB
worker1-1  | 2024/06/04 03:37:23.937 2024/06/04 03:37:23.938 FIG10b: Memory usage without flush after 23599 tasks: 1124.05859375 MB
worker1-1  | 2024/06/04 03:37:24.941 FIG10b: Memory usage without flush after 23723 tasks: 1124.3671875 MB
worker1-1  |  FIG10b: Memory usage without flush after 23850 tasks: 1124.79296875 MB
worker1-1  | 2024/06/04 03:37:26.951 FIG10b: Memory usage without flush after 23975 tasks: 1124.68359375 MB
worker1-1  | 2024/06/04 03:37:27.958 [worker] 2024/06/04 03:37:27.959 FIG10b: Memory usage without flush after 24085 tasks: 1124.91015625 MB
worker1-1  | 2024/06/04 03:37:28.959 FIG10b: Memory usage without flush after 24202 tasks: 1124.66015625 MB
worker1-1  | 2024/06/04 03:37:29.968 FIG10b: Memory usage without flush after 24319 tasks: 1124.80078125 MB
worker1-1  | 2024/06/04 03:37:30.968 FIG10b: Memory usage without flush after 24438 tasks: 1123.5859375 MB
worker1-1  | 2024/06/04 03:37:31.970 FIG10b: Memory usage without flush after 24565 tasks: 1125.1875 MB
worker1-1  | 2024/06/04 03:37:32.978 FIG10b: Memory usage without flush after 24694 tasks: 1125.23828125 MB
worker1-1  |   Executed!2024/06/04 03:37:33.990 FIG10b: Memory usage without flush after 24818 tasks: 1124.94140625 MB
worker1-1  | 2024/06/04 03:37:34.9982024/06/04 03:37:34.998  FIG10b: Memory usage without flush after 24936 tasks: 1125.39453125 MB
worker1-1  |  2024/06/04 03:37:36.003 FIG10b: Memory usage without flush after 25061 tasks: 1125.3203125 MB
worker1-1  | 2024/06/04 03:37:37.010 FIG10b: Memory usage without flush after 25176 tasks: 1126.4296875 MB
worker1-1  | 2024/06/04 03:37:38.010 2024/06/04 03:37:38.010 2024/06/04 03:37:38.011 FIG10b: Memory usage without flush after 25291 tasks: 1126.6875 MB
worker1-1  | 2024/06/04 03:37:39.020 FIG10b: Memory usage without flush after 25403 tasks: 1126.13671875 MB
worker1-1  | 2024/06/04 03:37:40.029 FIG10b: Memory usage without flush after 25521 tasks: 1126.3515625 MB
worker1-1  | 2024/06/04 03:37:41.029 FIG10b: Memory usage without flush after 25635 tasks: 1126.3203125 MB
worker1-1  | 2024/06/04 03:37:42.078 FIG10b: Memory usage without flush after 25706 tasks: 1126.84375 MB
