worker1-1  | 2024/06/04 01:46:06.2782024/06/04 01:46:06.279 FIG10b: Memory usage without flush after 13988 tasks: 1043.3984375 MB
worker1-1  | 2024/06/04 01:46:07.2822024/06/04 01:46:07.282 FIG10b: Memory usage without flush after 14110 tasks: 1044.56640625 MB
worker1-1  | 2024/06/04 01:46:08.283 2024/06/04 01:46:08.284 FIG10b: Memory usage without flush after 14246 tasks: 1046.42578125 MB
worker1-1  | 2024/06/04 01:46:09.285 2024/06/04 01:46:09.286 FIG10b: Memory usage without flush after 14381 tasks: 1048.125 MB
worker1-1  | 2024/06/04 01:46:10.290 FIG10b: Memory usage without flush after 14511 tasks: 1048.42578125 MB
worker1-1  | gonna store now2024/06/04 01:46:11.295 FIG10b: Memory usage without flush after 14649 tasks: 1047.91796875 MB
worker1-1  | 2024/06/04 01:46:12.298 FIG10b: Memory usage without flush after 14783 tasks: 1049.0859375 MB
worker1-1  | 2024/06/04 01:46:13.298 [worker] stored...2024/06/04 01:46:13.299 FIG10b: Memory usage without flush after 14922 tasks: 1048.06640625 MB
worker1-1  | 2024/06/04 01:46:14.308 FIG10b: Memory usage without flush after 15052 tasks: 1045.19140625 MB
worker1-1  |   [worker]2024/06/04 01:46:15.313 FIG10b: Memory usage without flush after 15185 tasks: 1045.45703125 MB
worker1-1  |  [worker] 2024/06/04 01:46:16.315 FIG10b: Memory usage without flush after 15310 tasks: 1046.00390625 MB
worker1-1  | 2024/06/04 01:46:17.324 FIG10b: Memory usage without flush after 15451 tasks: 1049.62890625 MB
worker1-1  | 2024/06/04 01:46:18.332 FIG10b: Memory usage without flush after 15580 tasks: 1050.609375 MB
worker1-1  |  FIG10b: Memory usage without flush after 15707 tasks: 1051.09375 MB
worker1-1  | 2024/06/04 01:46:20.3362024/06/04 01:46:20.336 FIG10b: Memory usage without flush after 15827 tasks: 1051.26171875 MB
worker1-1  | 2024/06/04 01:46:21.344 FIG10b: Memory usage without flush after 15946 tasks: 1051.9765625 MB
worker1-1  | 2024/06/04 01:46:22.3452024/06/04 01:46:22.345 FIG10b: Memory usage without flush after 16070 tasks: 1052.578125 MB
worker1-1  | 2024/06/04 01:46:23.352 FIG10b: Memory usage without flush after 16203 tasks: 1053.4765625 MB
worker1-1  | 2024/06/04 01:46:24.357 2024/06/04 01:46:24.357 FIG10b: Memory usage without flush after 16329 tasks: 1053.328125 MB
worker1-1  |  [worker]2024/06/04 01:46:25.358 FIG10b: Memory usage without flush after 16468 tasks: 1053.9921875 MB
worker1-1  | FIG10b: Memory usage without flush after 16599 tasks: 1054.05078125 MB
worker1-1  | in Run() rn2024/06/04 01:46:27.369 FIG10b: Memory usage without flush after 16723 tasks: 1055.4375 MB
worker1-1  | 2024/06/04 01:46:28.372 FIG10b: Memory usage without flush after 16845 tasks: 1054.71484375 MB
worker1-1  | 2024/06/04 01:46:29.373 FIG10b: Memory usage without flush after 16961 tasks: 1053.77734375 MB
worker1-1  | 2024/06/04 01:46:30.3812024/06/04 01:46:30.3812024/06/04 01:46:30.381 FIG10b: Memory usage without flush after 17087 tasks: 1053.9765625 MB
worker1-1  | 2024/06/04 01:46:31.3822024/06/04 01:46:31.382  FIG10b: Memory usage without flush after 17208 tasks: 1054.89453125 MB[worker]
worker1-1  | 2024/06/04 01:46:32.387 FIG10b: Memory usage without flush after 17331 tasks: 1055.52734375 MB
worker1-1  | 2024/06/04 01:46:33.396 FIG10b: Memory usage without flush after 17465 tasks: 1054.6484375 MB
worker1-1  | 2024/06/04 01:46:34.397 FIG10b: Memory usage without flush after 17590 tasks: 1054.453125 MB
worker1-1  | 2024/06/04 01:46:35.4012024/06/04 01:46:35.400 FIG10b: Memory usage without flush after 17718 tasks: 1057.6875 MB
worker1-1  | 2024/06/04 01:46:36.4012024/06/04 01:46:36.401 FIG10b: Memory usage without flush after 17849 tasks: 1057.37109375 MB
