worker1-1  | 2024/06/04 05:03:56.298 FIG10b: Memory usage without flush after 11253 tasks: 1125.046875 MB
worker1-1  | 2024/06/04 05:03:57.299 FIG10b: Memory usage without flush after 11304 tasks: 1125.49609375 MB
worker1-1  | 2024/06/04 05:03:58.322 [worker]2024/06/04 05:03:58.328 FIG10b: Memory usage without flush after 11363 tasks: 1125.99609375 MB
worker1-1  | FIG10b: Memory usage without flush after 11426 tasks: 1124.56640625 MB
worker1-1  | [worker]2024/06/04 05:04:00.342 FIG10b: Memory usage without flush after 11546 tasks: 1124.44921875 MB
worker1-1  | 2024/06/04 05:04:01.344 FIG10b: Memory usage without flush after 11652 tasks: 1126.3515625 MB
worker1-1  | 2024/06/04 05:04:02.353 FIG10b: Memory usage without flush after 11767 tasks: 1135.16796875 MB
worker1-1  | 2024/06/04 05:04:03.373 FIG10b: Memory usage without flush after 11871 tasks: 1135.34765625 MB
worker1-1  | 2024/06/04 05:04:04.377 FIG10b: Memory usage without flush after 11965 tasks: 1135.10546875 MB
worker1-1  | 2024/06/04 05:04:05.3772024/06/04 05:04:05.377 FIG10b: Memory usage without flush after 12078 tasks: 1135.76171875 MB
worker1-1  | 2024/06/04 05:04:06.3822024/06/04 05:04:06.383 FIG10b: Memory usage without flush after 12183 tasks: 1135.49609375 MB
worker1-1  | [worker] 2024/06/04 05:04:07.390 FIG10b: Memory usage without flush after 12289 tasks: 1135.65234375 MB
worker1-1  | 2024/06/04 05:04:08.396 FIG10b: Memory usage without flush after 12388 tasks: 1135.859375 MB
worker1-1  | 2024/06/04 05:04:09.403 FIG10b: Memory usage without flush after 12471 tasks: 1135.97265625 MB2024/06/04 05:04:09.403
worker1-1  | 2024/06/04 05:04:10.414 FIG10b: Memory usage without flush after 12574 tasks: 1135.953125 MB
worker1-1  | 2024/06/04 05:04:11.427 FIG10b: Memory usage without flush after 12665 tasks: 1135.75 MB
worker1-1  | 2024/06/04 05:04:12.431 FIG10b: Memory usage without flush after 12770 tasks: 1135.921875 MB
worker1-1  | 2024/06/04 05:04:13.4342024/06/04 05:04:13.434 FIG10b: Memory usage without flush after 12866 tasks: 1136.171875 MB
worker1-1  | 2024/06/04 05:04:14.446 FIG10b: Memory usage without flush after 12952 tasks: 1136.7109375 MB
worker1-1  | stored...[worker]2024/06/04 05:04:15.4562024/06/04 05:04:15.456 FIG10b: Memory usage without flush after 13074 tasks: 1137.08203125 MB
worker1-1  | 2024/06/04 05:04:16.462 FIG10b: Memory usage without flush after 13192 tasks: 1137.453125 MB
worker1-1  | 2024/06/04 05:04:17.468 FIG10b: Memory usage without flush after 13316 tasks: 1138.04296875 MB
worker1-1  |  FIG10b: Memory usage without flush after 13439 tasks: 1138.6640625 MB
worker1-1  | 2024/06/04 05:04:19.478 FIG10b: Memory usage without flush after 13561 tasks: 1139.48046875 MB
worker1-1  | 2024/06/04 05:04:20.482 FIG10b: Memory usage without flush after 13680 tasks: 1140.09375 MB
worker1-1  | 2024/06/04 05:04:21.486 FIG10b: Memory usage without flush after 13800 tasks: 1140.7265625 MB
worker1-1  | 2024/06/04 05:04:22.494 FIG10b: Memory usage without flush after 13921 tasks: 1141.3671875 MB
worker1-1  | 2024/06/04 05:04:23.495 FIG10b: Memory usage without flush after 14046 tasks: 1141.96484375 MB
worker1-1  | 2024/06/04 05:04:24.5012024/06/04 05:04:24.502 [worker] 2024/06/04 05:04:24.502 FIG10b: Memory usage without flush after 14166 tasks: 1141.828125 MB
worker1-1  |  2024/06/04 05:04:25.509 FIG10b: Memory usage without flush after 14279 tasks: 1142.01171875 MB
worker1-1  | 2024/06/04 05:04:26.512 2024/06/04 05:04:26.5132024/06/04 05:04:26.513 FIG10b: Memory usage without flush after 14396 tasks: 1141.9140625 MB
worker1-1  | 2024/06/04 05:04:27.515 2024/06/04 05:04:27.515[worker] 2024/06/04 05:04:27.516 FIG10b: Memory usage without flush after 14515 tasks: 1142.26953125 MB
worker1-1  | 2024/06/04 05:04:28.522 FIG10b: Memory usage without flush after 14639 tasks: 1142.375 MB
worker1-1  | took this many seconds: 0.032024/06/04 05:04:29.524 FIG10b: Memory usage without flush after 14744 tasks: 1142.41015625 MB
worker1-1  | 2024/06/04 05:04:30.531 2024/06/04 05:04:30.531 FIG10b: Memory usage without flush after 14851 tasks: 1141.79296875 MB
worker1-1  | 2024/06/04 05:04:31.535 FIG10b: Memory usage without flush after 14954 tasks: 1142.7734375 MB
worker1-1  |  2024/06/04 05:04:32.537 FIG10b: Memory usage without flush after 15067 tasks: 1142.21875 MB
worker1-1  |  [worker] 2024/06/04 05:04:33.539 FIG10b: Memory usage without flush after 15183 tasks: 1142.64453125 MB
worker1-1  | 2024/06/04 05:04:34.543 FIG10b: Memory usage without flush after 15294 tasks: 1142.89453125 MB
worker1-1  | 2024/06/04 05:04:35.5472024/06/04 05:04:35.547 FIG10b: Memory usage without flush after 15416 tasks: 1142.06640625 MB
worker1-1  | 2024/06/04 05:04:36.548 FIG10b: Memory usage without flush after 15534 tasks: 1142.44921875 MB
worker1-1  | [worker] 2024/06/04 05:04:37.554 FIG10b: Memory usage without flush after 15646 tasks: 1142.3671875 MB
worker1-1  | 2024/06/04 05:04:38.574 FIG10b: Memory usage without flush after 15755 tasks: 1141.66015625 MB
worker1-1  | 2024/06/04 05:04:39.580 [worker] 2024/06/04 05:04:39.581 FIG10b: Memory usage without flush after 15883 tasks: 1141.34375 MB
worker1-1  | 2024/06/04 05:04:40.5812024/06/04 05:04:40.581 FIG10b: Memory usage without flush after 16006 tasks: 1141.25 MB
worker1-1  | 2024/06/04 05:04:41.589 FIG10b: Memory usage without flush after 16131 tasks: 1149.65234375 MB
worker1-1  | 2024/06/04 05:04:42.597 FIG10b: Memory usage without flush after 16251 tasks: 1161.16796875 MB
worker1-1  | 2024/06/04 05:04:43.598 FIG10b: Memory usage without flush after 16373 tasks: 1156.609375 MB
worker1-1  | 2024/06/04 05:04:44.606 FIG10b: Memory usage without flush after 16496 tasks: 1154.74609375 MB
worker1-1  | 2024/06/04 05:04:45.608in Run() rn FIG10b: Memory usage without flush after 16628 tasks: 1155.5703125 MB
worker1-1  |  2024/06/04 05:04:46.621 FIG10b: Memory usage without flush after 16747 tasks: 1155.28125 MB
worker1-1  | 2024/06/04 05:04:47.6242024/06/04 05:04:47.625 FIG10b: Memory usage without flush after 16862 tasks: 1154.99609375 MB
worker1-1  | 2024/06/04 05:04:48.628 FIG10b: Memory usage without flush after 16973 tasks: 1155.8046875 MB
worker1-1  | [worker]took this many seconds: 0.0156[worker]2024/06/04 05:04:49.635 FIG10b: Memory usage without flush after 17101 tasks: 1155.41796875 MB
worker1-1  | 2024/06/04 05:04:50.636 FIG10b: Memory usage without flush after 17219 tasks: 1155.15234375 MB
worker1-1  | 2024/06/04 05:04:51.639 FIG10b: Memory usage without flush after 17346 tasks: 1155.5078125 MB
worker1-1  | stored...2024/06/04 05:04:52.648 FIG10b: Memory usage without flush after 17458 tasks: 1155.9765625 MB
worker1-1  | 2024/06/04 05:04:53.6532024/06/04 05:04:53.6532024/06/04 05:04:53.653 FIG10b: Memory usage without flush after 17579 tasks: 1157.46484375 MB
worker1-1  | 2024/06/04 05:04:54.656 FIG10b: Memory usage without flush after 17688 tasks: 1157.9921875 MB
worker1-1  | 2024/06/04 05:04:55.656 FIG10b: Memory usage without flush after 17801 tasks: 1158.453125 MB
worker1-1  | 2024/06/04 05:04:56.6582024/06/04 05:04:56.658  FIG10b: Memory usage without flush after 17924 tasks: 1155.96484375 MB
worker1-1  | 2024/06/04 05:04:57.659 FIG10b: Memory usage without flush after 18047 tasks: 1155.86328125 MB
worker1-1  | 2024/06/04 05:04:58.667 FIG10b: Memory usage without flush after 18160 tasks: 1156.83984375 MB
worker1-1  | 2024/06/04 05:04:59.672 2024/06/04 05:04:59.672[worker] FIG10b: Memory usage without flush after 18286 tasks: 1156.71484375 MB
worker1-1  | 2024/06/04 05:05:00.678 FIG10b: Memory usage without flush after 18409 tasks: 1155.984375 MB
worker1-1  | 2024/06/04 05:05:01.680 FIG10b: Memory usage without flush after 18534 tasks: 1156.67578125 MB
worker1-1  | 2024/06/04 05:05:02.6912024/06/04 05:05:02.690 FIG10b: Memory usage without flush after 18660 tasks: 1156.65234375 MB
worker1-1  | 2024/06/04 05:05:03.6962024/06/04 05:05:03.6962024/06/04 05:05:03.696 FIG10b: Memory usage without flush after 18792 tasks: 1156.6484375 MB
worker1-1  | 2024/06/04 05:05:04.6992024/06/04 05:05:04.699 FIG10b: Memory usage without flush after 18909 tasks: 1156.46875 MB
worker1-1  | 2024/06/04 05:05:05.705 FIG10b: Memory usage without flush after 19029 tasks: 1156.47265625 MB
worker1-1  | 2024/06/04 05:05:06.709 FIG10b: Memory usage without flush after 19155 tasks: 1157.63671875 MB
worker1-1  | 2024/06/04 05:05:07.718 FIG10b: Memory usage without flush after 19277 tasks: 1158.078125 MB
worker1-1  |  2024/06/04 05:05:08.724 FIG10b: Memory usage without flush after 19402 tasks: 1157.0 MB
worker1-1  |  [worker]2024/06/04 05:05:09.727 FIG10b: Memory usage without flush after 19524 tasks: 1157.7265625 MB
worker1-1  |  FIG10b: Memory usage without flush after 19631 tasks: 1157.71875 MB
worker1-1  | 2024/06/04 05:05:11.737 FIG10b: Memory usage without flush after 19751 tasks: 1158.40234375 MB
worker1-1  | 2024/06/04 05:05:12.745 FIG10b: Memory usage without flush after 19849 tasks: 1158.05078125 MB
worker1-1  | 2024/06/04 05:05:13.746 FIG10b: Memory usage without flush after 19952 tasks: 1157.85546875 MB
worker1-1  | 2024/06/04 05:05:14.750 FIG10b: Memory usage without flush after 20055 tasks: 1158.12109375 MB
worker1-1  | 2024/06/04 05:05:15.7542024/06/04 05:05:15.755 FIG10b: Memory usage without flush after 20168 tasks: 1158.3203125 MB
worker1-1  | 2024/06/04 05:05:16.761 FIG10b: Memory usage without flush after 20294 tasks: 1158.09765625 MB
worker1-1  | 2024/06/04 05:05:17.768 FIG10b: Memory usage without flush after 20417 tasks: 1158.53515625 MB
worker1-1  |  2024/06/04 05:05:18.772 FIG10b: Memory usage without flush after 20544 tasks: 1159.5078125 MB
worker1-1  |  2024/06/04 05:05:19.778[worker] took this many seconds: 0.03232024/06/04 05:05:19.779 FIG10b: Memory usage without flush after 20663 tasks: 1159.77734375 MB
worker1-1  | 2024/06/04 05:05:20.787 FIG10b: Memory usage without flush after 20786 tasks: 1159.3125 MB
worker1-1  | 2024/06/04 05:05:21.794 FIG10b: Memory usage without flush after 20935 tasks: 1175.1171875 MB
worker1-1  | 2024/06/04 05:05:22.798 FIG10b: Memory usage without flush after 21040 tasks: 1175.8046875 MB
worker1-1  | 2024/06/04 05:05:23.799 FIG10b: Memory usage without flush after 21169 tasks: 1176.72265625 MB2024/06/04 05:05:23.800 [lobs] WERE GONNA CREATE A /DEV FILE WITH THIS NAME: /dev/shm/5211556889717931035
worker1-1  | 2024/06/04 05:05:24.8032024/06/04 05:05:24.803 FIG10b: Memory usage without flush after 21294 tasks: 1176.23828125 MB
worker1-1  | 2024/06/04 05:05:25.8052024/06/04 05:05:25.805 FIG10b: Memory usage without flush after 21424 tasks: 1176.46484375 MB
worker1-1  | 2024/06/04 05:05:26.813 FIG10b: Memory usage without flush after 21550 tasks: 1177.3515625 MB
worker1-1  | 2024/06/04 05:05:27.822 FIG10b: Memory usage without flush after 21675 tasks: 1176.828125 MB
worker1-1  | took this many seconds: 0.0182024/06/04 05:05:28.825 FIG10b: Memory usage without flush after 21788 tasks: 1177.84375 MB
worker1-1  | 2024/06/04 05:05:29.8292024/06/04 05:05:29.829  FIG10b: Memory usage without flush after 21922 tasks: 1176.84765625 MB
worker1-1  | 2024/06/04 05:05:30.8312024/06/04 05:05:30.832 FIG10b: Memory usage without flush after 22047 tasks: 1177.5546875 MB
worker1-1  |  FIG10b: Memory usage without flush after 22167 tasks: 1178.4609375 MB
worker1-1  |  FIG10b: Memory usage without flush after 22286 tasks: 1179.0546875 MB
worker1-1  | 2024/06/04 05:05:33.8442024/06/04 05:05:33.844 FIG10b: Memory usage without flush after 22407 tasks: 1180.11328125 MB
worker1-1  | 2024/06/04 05:05:34.909 FIG10b: Memory usage without flush after 22510 tasks: 1179.80078125 MB
worker1-1  | 2024/06/04 05:05:35.916 FIG10b: Memory usage without flush after 22634 tasks: 1179.89453125 MB
worker1-1  | 2024/06/04 05:05:36.925 FIG10b: Memory usage without flush after 22761 tasks: 1179.71484375 MB
worker1-1  |  2024/06/04 05:05:37.930 FIG10b: Memory usage without flush after 22880 tasks: 1184.296875 MB
worker1-1  |  [worker]2024/06/04 05:05:38.931  gonna store nowFIG10b: Memory usage without flush after 22981 tasks: 1184.23828125 MB
worker1-1  | 2024/06/04 05:05:39.9372024/06/04 05:05:39.937 FIG10b: Memory usage without flush after 23091 tasks: 1183.90234375 MB
worker1-1  | 2024/06/04 05:05:40.940 FIG10b: Memory usage without flush after 23213 tasks: 1184.53515625 MB
worker1-1  | 2024/06/04 05:05:41.953 FIG10b: Memory usage without flush after 23340 tasks: 1184.80859375 MB
worker1-1  | 2024/06/04 05:05:42.958 FIG10b: Memory usage without flush after 23449 tasks: 1184.7421875 MB
worker1-1  | 2024/06/04 05:05:43.9612024/06/04 05:05:43.961 FIG10b: Memory usage without flush after 23565 tasks: 1185.1875 MB
worker1-1  | 2024/06/04 05:05:44.960 [worker]2024/06/04 05:05:44.961 FIG10b: Memory usage without flush after 23679 tasks: 1185.80859375 MB
worker1-1  | 2024/06/04 05:05:45.966 FIG10b: Memory usage without flush after 23788 tasks: 1185.24609375 MB
worker1-1  | 2024/06/04 05:05:46.9702024/06/04 05:05:46.971 [worker]  took this many seconds: 0.00822FIG10b: Memory usage without flush after 23898 tasks: 1185.58203125 MB
worker1-1  |  FIG10b: Memory usage without flush after 23998 tasks: 1185.28125 MB
worker1-1  | 2024/06/04 05:05:48.973 2024/06/04 05:05:48.973 FIG10b: Memory usage without flush after 24109 tasks: 1185.68359375 MB
worker1-1  | 2024/06/04 05:05:49.9782024/06/04 05:05:49.978 FIG10b: Memory usage without flush after 24218 tasks: 1186.0859375 MB
worker1-1  | 2024/06/04 05:05:50.982 FIG10b: Memory usage without flush after 24335 tasks: 1186.41796875 MB
worker1-1  | 2024/06/04 05:05:51.989stored...2024/06/04 05:05:51.989 FIG10b: Memory usage without flush after 24459 tasks: 1186.80859375 MB
